song_name,artist_name,primary_feeling
Pieces,Muscadine bloodline,Peace
NA,NA,NA
Under Pressure,Queen & David Bowie,Energy 
Drops of Jupiter,Train,elation
Sweet Caroline,Neil Diamond,Joy
bunny,bad Bunny,happiness
Healing,Messi skin,Calmness
stay,Rihanna,love
House at Pooh Corner,Kenny Loggins,Nostalgic
Wish you were here,Pink Floyd,"A deep longing for what once was, for a way to ease the hurts placed deep in my soul.  I am of a sensitive and very loving nature and Life is sometimes hard to deal with. "
Elizabeth Taylor,Taylor Swift,Happiness
Sweet Caroline,Thomas,Love
I Lived,One Republic,excitement
Dreams,Fleetwood mac,happiness
lady,styx,love
Tacoma,Caitlyn Smith,Yearning
happy,pharrell williams,alive and excited makes me want to dance
That’s Who I Praise,Brandon Lake,Joy
love me,justin bieber,motion
Press,Cardi B,amazing
competition,David Adeleke,amazing
Die with a Smile,Lady Gaga & Bruno Mars,Happy
everday yours,Drake White,happy
Where the Wild Things Are,Luke Combs,Loyalty
1965,Jessie Murph,Nostalgic
carry on my wayward son,kansas,nostalga
Just the Way You Are,Billy Joel,Happy
HoldThe line,Toto,Melancholy
At Last,Etta James,love
Love come,Sarah McLaughlin,Calmness
Billy Jean,Michael Jackson,Happy
Never Say Goodbye,Bon jovi,happy
Country roads,John Denver,Nostalgia
halo,beyounce,sad
NA,NA,NA
gratitude,brandon lake,gratitude
Paradise City,Guns & Roses,Nostalgia
THE ONE,MARY J BLIGE,EMPOWERMENT
None,None,None
Hold on to me,Lauren Daigle,Peace
Lifestyle,Quan,Good
Ships in the Night,Mat Kearney,Resonance
Blinding lights The Weekend Energizes,Stay  Justing Bieber Excited Happy,"Happy,Exited,Energize and Hyped"
Doesn't Remind Me,Audioslave,chill
Mother tears,Madame grey,Emotional
WAP,Cardi B,the goosebumps
Enchanted,Taylor Swift,Love
New Romantics,Taylor Swift,Wonder
As long as you love me,Backstreet Boys,Nostalgic
Naked in Manhattan,Chappell Roan,Free
Hallaluhia,KDLang,passion
Cmonnn (Hit It One Time),5Star ft. Lay Bankz,Confident
Supernova,"Ryan Caraveo, feat. TEZA Talks",Belonging
Aperture,Harry Styles,Bold
Calm Down,Rema,Calmness
Ain’t wasting time no more,The Allman Brothers,Happiness
Cannonballers,Colony House,Happiness
Aye,Devido,NA
idk,idk,idk
none,none,i enjoy lots of music
Move Along,All American Rejects,Nostalgia
God knows my pain,AI generated,Peace
none,none,none
Everything,Tye Tribbet,Full
Cosmic Love,Florence and the Machine,Intensity
Take on me,Aha,Happiness. I just want to move when I hear it!
Yes I'm a Mess,AJR,Validation
Rhapsody in Blue,George Gershwin,Joy
i can only imagine,mercy me,inspired
linkin park,crawling,rage
Bbvc,Vbvc,Cvvb
Gesthemane,Sleep Roken,bitterness
WAP,Cardi B,the goosebumps
Folded,Kehlani,Great
Blush,Razed In Black,Hype
I don’t have one,Unsure,Makes me feel happy
I want to stroll over heaven with you,Alan Jackson,Peace and joy
Must be doing something wrong,Brett Eldridge,Happy exciting
Billie jean,Michael Jackson,Joy
Accidentally In Love,Counting Crows,Nostalgia/nostalgic
Gods plan,Drake,Inspiration
Goodbye,Celine dion,warmth
Your way’s better,Forrest Frank,Freedom
An empty street,Celine deon,it creates a state of calmness in me
NA,NA,NA
under the influence,christbrown,emotional
lemonade,Beyonce,it makes me feel confident
No You,ZoeGIRL,joy
Heal the world,Michael jackson,inspirational
American girl,Harry style,Happy
the the the,i don’t know,the only way i could
shake it off,Tailor Swift,relaxed
Luther,Kendrick Lamar,Feels Good
NA,NA,NA
worship,Asake,Blessed
Firework,Katy Perry,Happy
NA,NA,NA
Heroes,David Bowie,Joy
mikel,joy,great
NA,NA,NA
love,wiskid,the beat
A bar song ,Shaboozey,Carefree
It's Too Late,Carole King,I have felt that during a relationship I had
Equality,Tom Macdonald,Patriotism
3 little bird ,Bob Marley ,Hope 
Hurt,Nine inch nails,Joy
Heavy Metal,Sammy Hagar,Happy
Thuggish Ruggish Bone,Bone Thugs,Takes me back to high school 90s
More Than A Feeling,Boston,It makes me feel joy.
Friends in low places,Garth Brooks,I can relate to this song
Livin on a Prayer ,Bon Jovi,Memories
good,better,best
Win,Jay rock,Happy 
Still I rise,Yolanda adams ,Worship music 
Immigrant song,Led Zeppelin ,Excitement 
Dust to dust ,The warning ,Happy and joy 
The Call of Ktulu,Metallica ,Strength
Wish you were here,Pink Floyd,Nostalgia 
Little guitars ,Van Halen,Makes me happy 
Seasons in the Abyss ,Slayer,Energy 
Thriller,Michael Jackson ,Want to dance
Welcome to the jungle ,Guns & Roses ,Energy 
Arlington,Trace Adkins,Make me happy 
Don't ,Know,Noise
Kashmir,Led Zeppelin,It has always motivated me to be my best.
Mr krinkle,Primus,Excitement
J,Check ,Live
Michael Jackson ,Beat it,Free spirit
This Hard Land,Bruce Springsteen youth,"Youth, work, family business, togetherness "
Something about you,Level 42,Joy
Wonderwall,Oasis,Youth
Comfortably Numb,Pink Floyd ,Relaxation 
Turn the lights back on,Billy joel,Makes me hopeful
Operator,Jim Croce,just happy
Simple Man ,Lynard Skynard ,How good the simple life is.
California love ,Tupac ,Just a chill vibe 
Jungleland,Bruce Springsteen,Overpowering
Nothing else matters ,Mettalica,Happy 
Naive melody ,Talking heads ,Comfy
Aloha ke Akua,Nahko and Medicine for the People,Hopeful
Here Comes the Sun,The Beatles,Optimism
Lay it on the line,Triumph,Awesome
Aenema,Tool ,Shock and awe
Royals,Lorde,Happy
Shallow,Lady Gaga,melancholy
Don’t You Give Up On Me,Lissie,This is a very good song with great musical tune supporting the lyrics.
If your gone ,Matchbox Twenty,Happiest 
Subdivisions,RUSH,Memories of growing up in the suburbs
total eclipse of the heart,Bonnie Tyler,Nostalgia
We are the world ,Michael Jackson ,Tenderness
I can only imagine ,Mercy me,Peace
Just the way you are ,Billy Joel,Nostalgia
My Sacrifice,Creed,It gets me pumped up and want to make me rock out. 
Peg,Steely Dan ,Nostalgic 
Thunderstruck ,AC/DC,Upbeat 
stairway to heaven,led zepplin,it is a masterpiece that will never be duplicated
Master of Puppets ,Metallica ,Energized
Kryptonite ,Three Doors Down,Energized
Thriller,Michael Jackson,Happy
Neon moon ,Brooks and dunn,Happy 
Stairway to heaven ,Led Zeppelin ,Makes me feel youo
Follow,Imagine Dragons,Feel good and not alone
Us and them,Pink floyd,Powerful
For the love of you ,Ronald Isley ,Love 
Fake It,Seether ,Contented 
Walk Like An Egyptian,The Bangles,Takes me back to high school years and the fun times I had!
The Voice ,Celtics Women ,Joy
Breath,Everncesense ,Hope and sense of energy
Mannish Boy,Muddy Waters ,Blues
yes,good,yes
Every Chance I get,Dj khaled,It gives me joy 
Fucking Determined ,Mudvayne,My mom told me that I couldn’t survive without her 
Enchanted,Taylor Swift,Comfort
NA,NA,NA
Walk in My Shoes,Depeche Mode,Strength
Iron man,Black sabbath ,Joy
Red Guitar,Kris Allen,Warmth
Magic Power,Triumph,It takes me on a musical journey
Make itva better place,Michael jackson,peace
perfect,ed shareen,calm
Pop,Laura pausini,Not sure
Celibate Now,Girl in a Coma,Euphoria
Man in the mirror,Michael Jackson,The song inspires me to be better and thankful for what I have.
david,mike,very good
good,good,g
Blame it on Me,Morgan Wallen,Good vibes
One Dance,Drake,amazing
It's My Life,Bon Jovi,Strength
Piece,drake,good
Cassidy,Grateful Dead,Peace and tranquility
Shpe of you,Ed sheeran,Happy
The end,The doors,Nostalgia
Lengardry,Ed sheram,good
thunder,imagine dragons,power
one love,bob marly,nice
Had enough,Breaking Benjamin,Reheat
Dancing with the stars,Jeffie stave,Having the best time and having fun
What do I have to do,Stabbing westward,Understanding
me,you,yez
Mountains,Prince,Serenity
Wind beneath my wings,Bette milder,It makes feel inspired and motivated to be my best
Lonely Boy,The Black Keys,Upbeat
Move Bitch,Ludacris,Rage
When I’m gone ,Three doors down ,It gives me mixed emotions it causes sadness and pleasure 
Ghetto cowboy ,Bone thugs n harmony ,It is how I live 
Juicy ,Doja cat,Sexy 
I will always love you ,Whitney Houston ,"The primary feeling of the song I Will Always Love You by Whitney Houston is deep love mixed with sadness and letting go. It expresses emotional farewell, gratitude, and enduring affection."
Opus,Eric Prydz,Joy
Dream chasers ,Meek mill,I love how it makes me feel happy 
Wear my thug at,Bone thugs ,Good 
Gods bathroom floor ,Atmosphere ,Peaceful
I'll pray for you,Not sure,Happiness 
Croetia,Karol G,"Like a longing, sexual energy and very happy "
Wonderwall,Oasis,Nostalgia 
I’m not sure ,I’m not sure ,I’m not sure 
Name,Goo Goo Dolls,Nostalgia 
Dani California,Red Hot Chili Peppers ,Fun
What u need,Tems,Makes me feel like I want to sing 
Outside the Rain,Stevie Nicks,Joy
lonely child,yb,it is a song with a power speech
Fasho ,Fasho ,Yes
Don’t doubt the god,Montana of 300,Energy and motivation 
Redemption song,Bob marley ,Eye of the tiger strength culture and motivation 
Strangers,The Kinks,Bliss
Boulevard of broken dreams,Green Day,Comfort
Shake it off,Taylor swift,Happiness
Soss,Chief keef,It makes me feel exited
Man in the mirror ,Michael Jackson ,Hope
Live to me,Jose ,Awesome 
Black hole sun,Soundgarden,Happiness 
Yeah ,Usher,Excitement 
Love me ,Lil wayne,The words
Choices,George Jones,Inspiration inspired
Glycerine ,Bush,Nostalgia 
To live and die in LA,2pac,"My city, my hometown"
