song_name,artist_name,primary_feeling,youtube_music_url
Nothing Else Matters,Metallica,Happy,https://music.youtube.com/watch?v=pTYIf2pkxzQ
Thunderstruck,AC/DC,Upbeat,https://music.youtube.com/watch?v=lhg9bYNLvOg
Beat It,Michael Jackson,Independent,https://music.youtube.com/watch?v=kOn-HdEg6AQ
Enchanted,Taylor Swift,Comforted,https://music.youtube.com/watch?v=fvg01l43XBc
Opus,Eric Prydz,Joy,https://music.youtube.com/watch?v=gt1pKrwxAJU
It's My Life,Bon Jovi,Empowered,https://music.youtube.com/watch?v=bY3vXr7fm8k
The End,The Doors,Nostalgic,https://music.youtube.com/watch?v=BXqPNlng6uI
Royals,Lorde,Happy,https://music.youtube.com/watch?v=cVWOEx4Xdhs
Ride,King Von,Excited,https://music.youtube.com/watch?v=FLQ7djBxn_c
When I'm Gone,3 Doors Down,Bittersweet,https://music.youtube.com/watch?v=Gt4xZnBBOHQ
�nema,Tool,Awestruck,https://music.youtube.com/watch?v=tqjOrkMHUkk
Three Little Birds,Bob Marley & The Wailers,Happy,https://music.youtube.com/watch?v=MUNNRAdizz0
Lay It On The Line,Triumph,Awesome,https://music.youtube.com/watch?v=E_HQnms4AEs
Lonely Boy,The Black Keys,Upbeat,https://music.youtube.com/watch?v=9DYPfItb2fk
Butterflies,Michael Jackson,Happy,https://music.youtube.com/watch?v=HksLQx6SbMg
Lifestyle,Rich Gang,Good,https://music.youtube.com/watch?v=atKSvW8DVos
Yes I'm A Mess,AJR,Validated,https://music.youtube.com/watch?v=GyDN8KrE9Kg
Paradise City,Guns N' Roses,Nostalgic,https://music.youtube.com/watch?v=T0ZmErXkbxE
WIN,Jay Rock,Happy,https://music.youtube.com/watch?v=oT_SmwxVfwE
My Sacrifice,Creed,Euphoric,https://music.youtube.com/watch?v=7BMyt8Znpkk
What Do I Have to Do?,Stabbing Westward,Empathy,https://music.youtube.com/watch?v=tdNNQnL7vVQ
Wonderwall,Oasis,Youthful,https://music.youtube.com/watch?v=hpSrLjc5SMs
Seasons in the Abyss,Slayer,Energized,https://music.youtube.com/watch?v=hVJ4rYjUgX4
The One,Mary J. Blige,Empowered,https://music.youtube.com/watch?v=OdMtm4v331g
Sensational ,Chris Brown,Enthusiastic,https://music.youtube.com/watch?v=k_aixXMK068
luther,Kendrick Lamar,Good,https://music.youtube.com/watch?v=XVveECQmiAk
Welcome To The Jungle,Guns N' Roses,Energized,https://music.youtube.com/watch?v=0CNPR2qNzxk
Walk,Pantera,Confident,https://music.youtube.com/watch?v=kOV2iTeGQik
Shake It Off,Taylor Swift,Happy,https://music.youtube.com/watch?v=1nFxMuPYeKA
Kryptonite,3 Doors Down,Energized,https://music.youtube.com/watch?v=UjWZGLi-1jM
Die With A Smile,Lady Gaga & Bruno Mars,Happy,https://music.youtube.com/watch?v=DlFXDl_ROAM
Calm Down,Rema,Calm,https://music.youtube.com/watch?v=Fm4WiX6i1FE
Gethsemane,Sleep Token,Bitter,https://music.youtube.com/watch?v=DZtq-IqULAo
God's Plan,Drake,Inspired,https://music.youtube.com/watch?v=FrsOnNxIrg8
Iron Man,Black Sabbath,Joy,https://music.youtube.com/watch?v=Y68sopy2yBE
Aloha Ke Akua,Nahko And Medicine For The People,Hopeful,https://music.youtube.com/watch?v=suu2Brsj_gI
Glycerine,Bush,Nostalgic,https://music.youtube.com/watch?v=ONHA6YHjI9o
Total Eclipse of the Heart,Bonnie Tyler,Nostalgic,https://music.youtube.com/watch?v=fSeFxzeo5Ts
Ms. Jackson,OutKast,Euphoric,https://music.youtube.com/watch?v=CSD2J8yaMmM
Everyday Yours,Drake White,Happy,https://music.youtube.com/watch?v=0u2q548U2TQ
Drops of Jupiter (Tell Me),Train,Elated,https://music.youtube.com/watch?v=qthko5ppHcM
Celibate Now,Girl in a Coma,Euphoric,https://music.youtube.com/watch?v=MrHVXDl1rk0
Heal the World,Michael Jackson,Inspired,https://music.youtube.com/watch?v=cyCMuCFCkdk
Us and Them,Pink Floyd,Powerful,https://music.youtube.com/watch?v=5wth9BScmGY
Hold the Line,Toto,Melancholic,https://music.youtube.com/watch?v=ZP69PLBqFUo
