song_name,artist_name,primary_feeling,youtube_music_url,core_affect_quadrant
Nothing Else Matters,Metallica,Happy,https://music.youtube.com/watch?v=pTYIf2pkxzQ,Quadrant 1
Thunderstruck,AC/DC,Upbeat,https://music.youtube.com/watch?v=lhg9bYNLvOg,Quadrant 1
Beat It,Michael Jackson,Free-spirited,https://music.youtube.com/watch?v=kOn-HdEg6AQ,Quadrant 1
Enchanted,Taylor Swift,Comforted,https://music.youtube.com/watch?v=fvg01l43XBc,Quadrant 4
Opus,Eric Prydz,Joyful,https://music.youtube.com/watch?v=gt1pKrwxAJU,Quadrant 1
It's My Life,Bon Jovi,Empowered,https://music.youtube.com/watch?v=bY3vXr7fm8k,Quadrant 1
The End,The Doors,Nostalgic,https://music.youtube.com/watch?v=BXqPNlng6uI,Quadrant 4
Royals,Lorde,Happy,https://music.youtube.com/watch?v=cVWOEx4Xdhs,Quadrant 1
Ride,King Von,Excited,https://music.youtube.com/watch?v=FLQ7djBxn_c,Quadrant 1
When I'm Gone,3 Doors Down,Bittersweet,https://music.youtube.com/watch?v=Gt4xZnBBOHQ,Quadrant 3
�nema,Tool,Awestruck,https://music.youtube.com/watch?v=tqjOrkMHUkk,Quadrant 1
Three Little Birds,Bob Marley & The Wailers,Happy,https://music.youtube.com/watch?v=MUNNRAdizz0,Quadrant 1
Lay It On The Line,Triumph,Awesome,https://music.youtube.com/watch?v=E_HQnms4AEs,Quadrant 1
Lonely Boy,The Black Keys,Upbeat,https://music.youtube.com/watch?v=9DYPfItb2fk,Quadrant 1
Butterflies,Michael Jackson,Happy,https://music.youtube.com/watch?v=HksLQx6SbMg,Quadrant 1
Lifestyle,Rich Gang,Good,https://music.youtube.com/watch?v=atKSvW8DVos,Quadrant 1
Yes I'm A Mess,AJR,Validated,https://music.youtube.com/watch?v=GyDN8KrE9Kg,Quadrant 4
Paradise City,Guns N' Roses,Nostalgic,https://music.youtube.com/watch?v=T0ZmErXkbxE,Quadrant 4
WIN,Jay Rock,Happy,https://music.youtube.com/watch?v=oT_SmwxVfwE,Quadrant 1
My Sacrifice,Creed,Euphoric,https://music.youtube.com/watch?v=7BMyt8Znpkk,Quadrant 1
What Do I Have to Do?,Stabbing Westward,Empathy,https://music.youtube.com/watch?v=tdNNQnL7vVQ,Quadrant 4
Wonderwall,Oasis,Youthful,https://music.youtube.com/watch?v=hpSrLjc5SMs,Quadrant 1
Seasons in the Abyss,Slayer,Energized,https://music.youtube.com/watch?v=hVJ4rYjUgX4,Quadrant 1
The One,Mary J. Blige,Empowered,https://music.youtube.com/watch?v=OdMtm4v331g,Quadrant 1
Sensational ,Chris Brown,Enthusiastic,https://music.youtube.com/watch?v=k_aixXMK068,Quadrant 1
luther,Kendrick Lamar,Good,https://music.youtube.com/watch?v=XVveECQmiAk,Quadrant 1
Welcome To The Jungle,Guns N' Roses,Energized,https://music.youtube.com/watch?v=0CNPR2qNzxk,Quadrant 1
Walk,Pantera,Confident,https://music.youtube.com/watch?v=kOV2iTeGQik,Quadrant 1
Shake It Off,Taylor Swift,Happy,https://music.youtube.com/watch?v=1nFxMuPYeKA,Quadrant 1
Kryptonite,3 Doors Down,Energized,https://music.youtube.com/watch?v=UjWZGLi-1jM,Quadrant 1
Die With A Smile,Lady Gaga & Bruno Mars,Happy,https://music.youtube.com/watch?v=DlFXDl_ROAM,Quadrant 1
Calm Down,Rema,Calm,https://music.youtube.com/watch?v=Fm4WiX6i1FE,Quadrant 4
Gethsemane,Sleep Token,Bitter,https://music.youtube.com/watch?v=DZtq-IqULAo,Quadrant 2
God's Plan,Drake,Inspired,https://music.youtube.com/watch?v=FrsOnNxIrg8,Quadrant 4
Iron Man,Black Sabbath,Joy,https://music.youtube.com/watch?v=Y68sopy2yBE,Quadrant 1
Aloha Ke Akua,Nahko And Medicine For The People,Hopeful,https://music.youtube.com/watch?v=suu2Brsj_gI,Quadrant 4
Glycerine,Bush,Nostalgic,https://music.youtube.com/watch?v=ONHA6YHjI9o,Quadrant 4
Total Eclipse of the Heart,Bonnie Tyler,Nostalgic,https://music.youtube.com/watch?v=fSeFxzeo5Ts,Quadrant 4
Ms. Jackson,OutKast,Euphoric,https://music.youtube.com/watch?v=CSD2J8yaMmM,Quadrant 1
Everyday Yours,Drake White,Happy,https://music.youtube.com/watch?v=0u2q548U2TQ,Quadrant 1
Drops of Jupiter (Tell Me),Train,Elated,https://music.youtube.com/watch?v=qthko5ppHcM,Quadrant 1
Celibate Now,Girl in a Coma,Euphoric,https://music.youtube.com/watch?v=MrHVXDl1rk0,Quadrant 1
Heal the World,Michael Jackson,Inspired,https://music.youtube.com/watch?v=cyCMuCFCkdk,Quadrant 4
Us and Them,Pink Floyd,Powerful,https://music.youtube.com/watch?v=5wth9BScmGY,Quadrant 1
Hold the Line,Toto,Melancholic,https://music.youtube.com/watch?v=ZP69PLBqFUo,Quadrant 3
