track_id,song_name,artist_name,primary_feeling
73rxH6rYJQZtwfjKNb4mwZ,Pieces,"Muscadine Bloodline, Lainey Wilson",Peace
5AZGbqiIK5t1jrWSPT7k8X,Under Pressure,Queen and David Bowie,Energized
62AuGbAkt8Ox2IrFFb8GKV,Sweet Caroline,Neil Diamond,Joy
1dEy9Pl81QopSxNsPxXQxv,Stay,Rihanna and Mikky Ekko,Love
6COvxYdHnlLHqT55sLSoJc,House at Pooh Corner,Kenny Loggins and Messina,Nostalgia
6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,Pink Floyd,Nostalgia
3AKV7Mvo2Mx4tb39iPvPlT,Elizabeth Taylor,Taylor Swift,Happy
3IQF4xCQUPicbA4hWfTxPo,I Lived,OneRepublic,Excited
5TDZyWDfbQFQJabbPwImVY,Dreams,Fleetwood Mac,Happy
1wpRglLhQ092N1rftlDMD3,Lady,Styx,Love
3wDVoMD7kISmQQIrpNWI8O,Tacoma,Caitlyn Smith,Yearning
4JFXLI3xfNUg4rMCSOvqko,Happy,Pharrell Williams,Excited
2XgEPY4cIYFsXFhAIrZ57U,That's Who I Praise,Brandon Lake,Joy
0yIywEquxORnu1dR0WYsdN,Love Me,Justin Bieber,Motion
6dPyzkyZwoj9LqjQXOFdVv,Press,Cardi B,Amazing
5DttTktPy0RMZPz4UNfFm4,NO COMPETITION,Davido and Asake,Amazing
7so0lgd0zP2Sbgs2d7a1SZ,Die With a Smile,Lady Gaga and Bruno Mars,Happy
0wrxWwePloV5H5ibjO7e17,Everyday Yours,Drake White,Happy
0eBFgRxyVSeuT4iyrbukdn,Where the Wild Things Are,Luke Combs,Loyalty
1CnEPh46C45T7xv3ZEBb9h,1965,Jessie Murph,Nostalgia
4DMKwE2E2iYDKY01C335Uw,Carry on Wayward Son,Kansas,Nostalgia
49MHCPzvMLXhRjDantBMVH,Just The Way You Are,Billy Joel,Happy
4aVuWgvD0X63hcOCnZtNFA,Hold the Line,Toto,Melancholy
4Hhv2vrOTy89HFRcjU3QOx,At Last,Etta James,Love
6IZYhOefMBGSF74qn8c6ac,Love Come,Sarah McLachlan,Calm
7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson,Happy
4AfsbRvvuN7nEHAhONdeEp,Never Say Goodbye,Bon Jovi,Happy
1YYhDizHx7PnDhAhko6cDS,"Take Me Home, Country Roads",John Denver,Nostalgia
3ERa3mEeOnrh2Mc47qM6T1,Halo,Beyoncé,Sad
4VI7berVSzuaBt1BGrBksC,Gratitude,Brandon Lake,Gratitude
6eN1f9KNmiWEhpE2RhQqB5,Paradise City,Guns N' Roses,Nostalgia
0z1wYL8FalelcThBPnwTps,The One,Mary J. Blige and Drake,Empowerment
42KljLYsGiZJ0O2NJIhZel,Hold On To Me,Lauren Daigle,Peace
7DTlsMOQjGysXHpwwpHuPl,Lifestyle,"Rich Gang, Young Thug, and Rich Homie Quan",Content
0RUXHlYhA057fCOe2vqIqu,Ships in the Night,Mat Kearney,Resonance
0o995gJCGebaza0LWybToU,Doesn't Remind Me,Audioslave,Calm
012SpRij47PrEN3biIzZ5V,A Mother's Tears,Madame Grey and Spalexma,Sentimental
4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",Excited
10eBRyImhfqVvkiVEGf0N0,Enchanted,Taylor Swift,Love
6rZVy6FIG7lSJQMFXHo12z,New Romantics,Taylor Swift,Wonder
00WvmRXTkPBZNhhRK3xfdy,As Long as You Love Me,Backstreet Boys,Nostalgia
4LKYOetuIF5c9XjeLBL9av,Naked In Manhattan,Chappell Roan,Free
5S0pF13mOsTnYweFwFy4D0,Hallelujah,k.d. lang,Passion
3IMPv8qFfE92WZWxjCV1dg,Cmonnn (Hit It One Time)(feat. Lay Bankz),5Star and Lay Bankz,Confident
6x2DIeOeztS1zuaUQ8w4wg,Supernova (feat. TeZATalks),Ryan Caraveo and TeZATalks,Belonging
45Z3m6yazmAi4jZuW0tzW0,Aperture,Harry Styles,Confidence
3BnDvpeuGOj21Ir2aVEtQo,Calm Down,Rema,Calm
4euYSSvpQZSAQ4gThyL2QD,Ain't Wastin' Time No More,The Allman Brothers Band,Happy
2f0uekb8fxtGo8eRGFVM2B,Cannonballers,Colony House,Happy
58HpsDKeYoLtNhXFQyQmz5,Move Along,The All-American Rejects,Nostalgia
1YODRGANKdfp31X1QC1XOx,Everything (Bless The Lord),Tye Tribbett,Joy
0CSTvWUps1YmpQoXXay9ol,Cosmic Love,Florence + The Machine,Intense
2WfaOiMkCvy7F5fcp2zZ8L,Take On Me,a-ha,Happy
3LDNcikQd7Zui9gJCISTtR,Yes I'm A Mess,AJR,Validated
7oB0QBEnGRIJjvlDc8YnM6,Rhapsody in Blue,"George Gershwin, Columbia Symphony Orchestra, and Leonard Bernstein",Joy
1G5S1rEr4L57ftizRHcYDP,I Can Only Imagine,Mercy Me,Inspired
